Frequency (GHz), S11 (dB)
8.000000000000000000e+00,-1.173538023835817568e-01
8.009999999999999787e+00,-1.186948963835699061e-01
8.019999999999999574e+00,-1.200797144945776052e-01
8.029999999999999361e+00,-1.215116894038706097e-01
8.039999999999999147e+00,-1.229946720165003143e-01
8.050000000000000711e+00,-1.245329965140105355e-01
8.060000000000000497e+00,-1.261315573376284860e-01
8.070000000000000284e+00,-1.277959005838968376e-01
8.080000000000000071e+00,-1.295323328764565740e-01
8.089999999999999858e+00,-1.313480514973152935e-01
8.099999999999999645e+00,-1.332513004613008756e-01
8.109999999999999432e+00,-1.352515583453817727e-01
8.119999999999999218e+00,-1.373597650962931349e-01
8.130000000000000782e+00,-1.395885968058229176e-01
8.140000000000000568e+00,-1.419527996427178973e-01
8.150000000000000355e+00,-1.444695968555394505e-01
8.160000000000000142e+00,-1.471591861023076875e-01
8.169999999999999929e+00,-1.500453483953899936e-01
8.179999999999999716e+00,-1.531561946888546910e-01
8.189999999999999503e+00,-1.565250814601593099e-01
8.199999999999999289e+00,-1.601917321392334614e-01
8.210000000000000853e+00,-1.642036059396078662e-01
8.220000000000000639e+00,-1.686175574892745388e-01
8.230000000000000426e+00,-1.735018255782419250e-01
8.240000000000000213e+00,-1.789383696212101249e-01
8.250000000000000000e+00,-1.850255238698819693e-01
8.259999999999999787e+00,-1.918808365131233484e-01
8.269999999999999574e+00,-1.996437591767421527e-01
8.279999999999999361e+00,-2.084774776104799665e-01
8.289999999999999147e+00,-2.185685093284260583e-01
8.300000000000000711e+00,-2.301215731885179472e-01
8.310000000000000497e+00,-2.433454778108161409e-01
8.320000000000000284e+00,-2.584233308700765175e-01
8.330000000000000071e+00,-2.754577505505647061e-01
8.339999999999999858e+00,-2.943809809736511740e-01
8.349999999999999645e+00,-3.148258659821645544e-01
8.359999999999999432e+00,-3.359750960126544617e-01
8.369999999999999218e+00,-3.564500512934203336e-01
8.380000000000000782e+00,-3.743541258942342242e-01
8.390000000000000568e+00,-3.875910080626295828e-01
8.400000000000000355e+00,-3.944534927270527680e-01
8.410000000000000142e+00,-3.942395179362051527e-01
8.419999999999999929e+00,-3.875199120585143264e-01
8.429999999999999716e+00,-3.758763457737138713e-01
8.439999999999999503e+00,-3.613030701120640287e-01
8.449999999999999289e+00,-3.456390843831302351e-01
8.460000000000000853e+00,-3.302574582596057295e-01
8.470000000000000639e+00,-3.160125164687315191e-01
8.480000000000000426e+00,-3.033330443779544972e-01
8.490000000000000213e+00,-2.923562079933433311e-01
8.500000000000000000e+00,-2.830453409461550773e-01
8.509999999999999787e+00,-2.752742672100491061e-01
8.519999999999999574e+00,-2.688804926764675196e-01
8.529999999999999361e+00,-2.636955768979565851e-01
8.539999999999999147e+00,-2.595607459205984680e-01
8.550000000000000711e+00,-2.563337277319717167e-01
8.560000000000000497e+00,-2.538907237098427805e-01
8.570000000000000284e+00,-2.521258883209447910e-01
8.580000000000000071e+00,-2.509496767018341012e-01
8.589999999999999858e+00,-2.502868002879337084e-01
8.599999999999999645e+00,-2.500741694956442052e-01
8.609999999999999432e+00,-2.502589999172789015e-01
8.619999999999999218e+00,-2.507971492510543965e-01
8.630000000000000782e+00,-2.516516961280054754e-01
8.640000000000000568e+00,-2.527917454040783940e-01
8.650000000000000355e+00,-2.541914337212027863e-01
8.660000000000000142e+00,-2.558291065338481052e-01
8.669999999999999929e+00,-2.576866391208811335e-01
8.679999999999999716e+00,-2.597488770873938591e-01
8.689999999999999503e+00,-2.620031753324576496e-01
8.699999999999999289e+00,-2.644390178422543758e-01
8.710000000000000853e+00,-2.670477037126486319e-01
8.720000000000000639e+00,-2.698220874288249638e-01
8.730000000000000426e+00,-2.727563636320766149e-01
8.740000000000000213e+00,-2.758458884241977715e-01
8.750000000000000000e+00,-2.790870307487346436e-01
8.759999999999999787e+00,-2.824770485991032754e-01
8.769999999999999574e+00,-2.860139857841922373e-01
8.779999999999999361e+00,-2.896965857753646678e-01
8.789999999999999147e+00,-2.935242197998694791e-01
8.800000000000000711e+00,-2.974968268643763958e-01
8.810000000000000497e+00,-3.016148638123444248e-01
8.820000000000000284e+00,-3.058792638596212754e-01
8.830000000000000071e+00,-3.102914023299188639e-01
8.839999999999999858e+00,-3.148530685374859583e-01
8.849999999999999645e+00,-3.195664429491965053e-01
8.859999999999999432e+00,-3.244340789096307187e-01
8.869999999999999218e+00,-3.294588883374680033e-01
8.880000000000000782e+00,-3.346441309044596579e-01
8.890000000000000568e+00,-3.399934062937181034e-01
8.900000000000000355e+00,-3.455106492052479328e-01
8.910000000000000142e+00,-3.512001268361560902e-01
8.919999999999999929e+00,-3.570664386131850443e-01
8.929999999999999716e+00,-3.631145179976286164e-01
8.939999999999999503e+00,-3.693496362189019888e-01
8.949999999999999289e+00,-3.757774078240380677e-01
8.960000000000000853e+00,-3.824037979573661206e-01
8.970000000000000639e+00,-3.892351313080626429e-01
8.980000000000000426e+00,-3.962781026841051268e-01
8.990000000000000213e+00,-4.035397891896966294e-01
9.000000000000000000e+00,-4.110276640000688486e-01
9.009999999999999787e+00,-4.187496117429742037e-01
9.019999999999999574e+00,-4.267139455106939705e-01
9.029999999999999361e+00,-4.349294255398228337e-01
9.039999999999999147e+00,-4.434052796093935767e-01
9.050000000000000711e+00,-4.521512252204389903e-01
9.060000000000000497e+00,-4.611774936329659513e-01
9.070000000000000284e+00,-4.704948558487510035e-01
9.080000000000000071e+00,-4.801146506414210591e-01
9.089999999999999858e+00,-4.900488147484023393e-01
9.099999999999999645e+00,-5.003099153530656817e-01
9.109999999999999432e+00,-5.109111849997530763e-01
9.119999999999999218e+00,-5.218665590994618908e-01
9.130000000000000782e+00,-5.331907162001036093e-01
9.140000000000000568e+00,-5.448991212122162864e-01
9.150000000000000355e+00,-5.570080717994901898e-01
9.160000000000000142e+00,-5.695347481631117814e-01
9.169999999999999929e+00,-5.824972664702042779e-01
9.179999999999999716e+00,-5.959147361995891234e-01
9.189999999999999503e+00,-6.098073217031728666e-01
9.199999999999999289e+00,-6.241963083081515373e-01
9.210000000000000853e+00,-6.391041733148244974e-01
9.220000000000000639e+00,-6.545546622767693945e-01
9.230000000000000426e+00,-6.705728709852193381e-01
9.240000000000000213e+00,-6.871853336175982596e-01
9.250000000000000000e+00,-7.044201175519362312e-01
9.259999999999999787e+00,-7.223069253945241242e-01
9.269999999999999574e+00,-7.408772048181191394e-01
9.279999999999999361e+00,-7.601642668627601740e-01
9.289999999999999147e+00,-7.802034134111474062e-01
9.300000000000000711e+00,-8.010320746164196759e-01
9.310000000000000497e+00,-8.226899571321923954e-01
9.320000000000000284e+00,-8.452192040741586254e-01
9.330000000000000071e+00,-8.686645677294431156e-01
9.339999999999999858e+00,-8.930735961257307842e-01
9.349999999999999645e+00,-9.184968346774649017e-01
9.359999999999999432e+00,-9.449880442423321814e-01
9.369999999999999218e+00,-9.726044370488795554e-01
9.380000000000000782e+00,-1.001406932096861713e+00
9.390000000000000568e+00,-1.031460431787170062e+00
9.400000000000000355e+00,-1.062834121709464563e+00
9.410000000000000142e+00,-1.095601795705085424e+00
9.419999999999999929e+00,-1.129842208532183756e+00
9.429999999999999716e+00,-1.165639458691808628e+00
9.439999999999999503e+00,-1.203083404230853581e+00
9.449999999999999289e+00,-1.242270114622794575e+00
9.460000000000000853e+00,-1.283302362144332909e+00
9.470000000000000639e+00,-1.326290156518908026e+00
9.480000000000000426e+00,-1.371351326991562036e+00
9.490000000000000213e+00,-1.418612156439255312e+00
9.500000000000000000e+00,-1.468208072613171211e+00
9.509999999999999787e+00,-1.520284402161533821e+00
9.519999999999999574e+00,-1.574997193703207898e+00
9.529999999999999361e+00,-1.632514116922929803e+00
9.539999999999999147e+00,-1.693015445452014323e+00
9.550000000000000711e+00,-1.756695132198095921e+00
9.560000000000000497e+00,-1.823761986811771374e+00
9.570000000000000284e+00,-1.894440966148459360e+00
9.580000000000000071e+00,-1.968974589925771568e+00
9.589999999999999858e+00,-2.047624495321630711e+00
9.599999999999999645e+00,-2.130673146043736921e+00
9.609999999999999432e+00,-2.218425713472561345e+00
9.619999999999999218e+00,-2.311212149893847823e+00
9.630000000000000782e+00,-2.409389476660859675e+00
9.640000000000000568e+00,-2.513344313445165401e+00
9.650000000000000355e+00,-2.623495678649857332e+00
9.660000000000000142e+00,-2.740298095697567327e+00
9.669999999999999929e+00,-2.864245045422167735e+00
9.679999999999999716e+00,-2.995872811376735889e+00
9.689999999999999503e+00,-3.135764772753887986e+00
9.699999999999999289e+00,-3.284556209075915945e+00
9.710000000000000853e+00,-3.442939692184982192e+00
9.720000000000000639e+00,-3.611671154735307976e+00
9.730000000000000426e+00,-3.791576740790380651e+00
9.740000000000000213e+00,-3.983560563712800207e+00
9.750000000000000000e+00,-4.188613519701329224e+00
9.759999999999999787e+00,-4.407823332309692255e+00
9.769999999999999574e+00,-4.642386033865246731e+00
9.779999999999999361e+00,-4.893619122781480257e+00
9.789999999999999147e+00,-5.162976668435779182e+00
9.800000000000000711e+00,-5.452066661300589701e+00
9.810000000000000497e+00,-5.762670912846576954e+00
9.820000000000000284e+00,-6.096767773288865655e+00
9.830000000000000071e+00,-6.456557810140273190e+00
9.839999999999999858e+00,-6.844492292035649683e+00
9.849999999999999645e+00,-7.263303692504637255e+00
9.859999999999999432e+00,-7.716036172192744402e+00
9.869999999999999218e+00,-8.206071560598250159e+00
9.880000000000000782e+00,-8.737141688517796823e+00
9.890000000000000568e+00,-9.313309014000036967e+00
9.900000000000000355e+00,-9.938880491979292131e+00
9.910000000000000142e+00,-1.061818720795978521e+01
9.919999999999999929e+00,-1.135510062625962213e+01
9.929999999999999716e+00,-1.215204084245506699e+01
9.939999999999999503e+00,-1.300802537507935241e+01
9.949999999999999289e+00,-1.391497707320680277e+01
9.960000000000000853e+00,-1.485114737195078582e+01
9.970000000000000639e+00,-1.577076246315390762e+01
9.980000000000000426e+00,-1.659205841969299300e+01
9.990000000000000213e+00,-1.719537614445474460e+01
1.000000000000000000e+01,-1.745423153337880962e+01
1.000999999999999979e+01,-1.730330499124982069e+01
1.001999999999999957e+01,-1.678550578270613514e+01
1.002999999999999936e+01,-1.602015076989169984e+01
1.003999999999999915e+01,-1.513258798431255059e+01
1.005000000000000071e+01,-1.421348961918801557e+01
1.006000000000000050e+01,-1.331556703012612353e+01
1.007000000000000028e+01,-1.246479658177989336e+01
1.008000000000000007e+01,-1.167152799728959067e+01
1.008999999999999986e+01,-1.093786088362372055e+01
1.009999999999999964e+01,-1.026186821729268672e+01
1.010999999999999943e+01,-9.639851920675855723e+00
1.011999999999999922e+01,-9.067498461079576799e+00
1.013000000000000078e+01,-8.540448185928589453e+00
1.014000000000000057e+01,-8.054559454287025133e+00
1.015000000000000036e+01,-7.606016551673844717e+00
1.016000000000000014e+01,-7.191359376201903686e+00
1.016999999999999993e+01,-6.807475470483600688e+00
1.017999999999999972e+01,-6.451575362592462781e+00
1.018999999999999950e+01,-6.121161897649099792e+00
1.019999999999999929e+01,-5.813998847867414277e+00
1.021000000000000085e+01,-5.528081267091148554e+00
1.022000000000000064e+01,-5.261608594053893917e+00
1.023000000000000043e+01,-5.012960768278579060e+00
1.024000000000000021e+01,-4.780677264606230992e+00
1.025000000000000000e+01,-4.563438795577910767e+00
1.025999999999999979e+01,-4.360051377984200727e+00
1.026999999999999957e+01,-4.169432458641717965e+00
1.027999999999999936e+01,-3.990598816979628705e+00
1.028999999999999915e+01,-3.822655993704249244e+00
1.030000000000000071e+01,-3.664789028192855014e+00
1.031000000000000050e+01,-3.516254318798162082e+00
1.032000000000000028e+01,-3.376372448413187399e+00
1.033000000000000007e+01,-3.244521842048142979e+00
1.033999999999999986e+01,-3.120133143908450091e+00
1.034999999999999964e+01,-3.002684218896398249e+00
1.035999999999999943e+01,-2.891695698012250570e+00
1.036999999999999922e+01,-2.786726999247081338e+00
1.038000000000000078e+01,-2.687372765631848015e+00
1.039000000000000057e+01,-2.593259670491863567e+00
1.040000000000000036e+01,-2.504043546947063437e+00
1.041000000000000014e+01,-2.419406804551116785e+00
1.041999999999999993e+01,-2.339056100875610777e+00
1.042999999999999972e+01,-2.262720239995586358e+00
1.043999999999999950e+01,-2.190148273349522334e+00
1.044999999999999929e+01,-2.121107781447089113e+00
1.046000000000000085e+01,-2.055383317466815907e+00
1.047000000000000064e+01,-1.992774996000249432e+00
1.048000000000000043e+01,-1.933097212113770613e+00
1.049000000000000021e+01,-1.876177477565299068e+00
1.050000000000000000e+01,-1.821855362466267225e+00
1.050999999999999979e+01,-1.769981531953961129e+00
1.051999999999999957e+01,-1.720416868558880985e+00
1.052999999999999936e+01,-1.673031671940883314e+00
1.053999999999999915e+01,-1.627704928540304241e+00
1.055000000000000071e+01,-1.584323644465704062e+00
1.056000000000000050e+01,-1.542782235626577458e+00
1.057000000000000028e+01,-1.502981969731740808e+00
1.058000000000000007e+01,-1.464830455317963853e+00
1.058999999999999986e+01,-1.428241173460358615e+00
1.059999999999999964e+01,-1.393133048248807349e+00
1.060999999999999943e+01,-1.359430052503558972e+00
1.061999999999999922e+01,-1.327060845548762469e+00
1.063000000000000078e+01,-1.295958440174595605e+00
1.064000000000000057e+01,-1.266059896195649070e+00
1.065000000000000036e+01,-1.237306038263672692e+00
1.066000000000000014e+01,-1.209641195815875703e+00
1.066999999999999993e+01,-1.183012963241697024e+00
1.067999999999999972e+01,-1.157371978530830958e+00
1.068999999999999950e+01,-1.132671718828259566e+00
1.069999999999999929e+01,-1.108868311467791523e+00
1.071000000000000085e+01,-1.085920359187171780e+00
1.072000000000000064e+01,-1.063788778346657748e+00
1.073000000000000043e+01,-1.042436649079244937e+00
1.074000000000000021e+01,-1.021829076397799740e+00
1.075000000000000000e+01,-1.001933061370866573e+00
1.075999999999999979e+01,-9.827173815579783867e-01
1.076999999999999957e+01,-9.641524799662576362e-01
1.077999999999999936e+01,-9.462103618544612793e-01
1.078999999999999915e+01,-9.288644987690639621e-01
1.080000000000000071e+01,-9.120897392497779865e-01
1.081000000000000050e+01,-8.958622256896795477e-01
1.082000000000000028e+01,-8.801593168789603183e-01
1.083000000000000007e+01,-8.649595158004884654e-01
1.083999999999999986e+01,-8.502424022814978333e-01
1.084999999999999964e+01,-8.359885701385028067e-01
1.085999999999999943e+01,-8.221795684818991035e-01
1.086999999999999922e+01,-8.087978468743375338e-01
1.088000000000000078e+01,-7.958267040612354570e-01
1.089000000000000057e+01,-7.832502400147122179e-01
1.090000000000000036e+01,-7.710533110523898337e-01
1.091000000000000014e+01,-7.592214878117804489e-01
1.091999999999999993e+01,-7.477410158778929894e-01
1.092999999999999972e+01,-7.365987788774346345e-01
1.093999999999999950e+01,-7.257822638674609195e-01
1.094999999999999929e+01,-7.152795288596213164e-01
1.096000000000000085e+01,-7.050791723329701277e-01
1.097000000000000064e+01,-6.951703045996738828e-01
1.098000000000000043e+01,-6.855425208980004959e-01
1.099000000000000021e+01,-6.761858760963390669e-01
1.100000000000000000e+01,-6.670908609007110135e-01
1.100999999999999979e+01,-6.582483794658708920e-01
1.101999999999999957e+01,-6.496497283176998483e-01
1.102999999999999936e+01,-6.412865765011038777e-01
1.103999999999999915e+01,-6.331509468737315238e-01
1.105000000000000071e+01,-6.252351984717836597e-01
1.106000000000000050e+01,-6.175320098790694212e-01
1.107000000000000028e+01,-6.100343635356595406e-01
1.108000000000000007e+01,-6.027355309266744232e-01
1.108999999999999986e+01,-5.956290585960702932e-01
1.109999999999999964e+01,-5.887087549339200532e-01
1.110999999999999943e+01,-5.819686776894685831e-01
1.111999999999999922e+01,-5.754031221651738637e-01
1.113000000000000078e+01,-5.690066100502757518e-01
1.114000000000000057e+01,-5.627738788550552540e-01
1.115000000000000036e+01,-5.566998719095864745e-01
1.116000000000000014e+01,-5.507797288932050339e-01
1.116999999999999993e+01,-5.450087768631215468e-01
1.117999999999999972e+01,-5.393825217526938554e-01
1.118999999999999950e+01,-5.338966403118499127e-01
1.119999999999999929e+01,-5.285469724636995270e-01
1.121000000000000085e+01,-5.233295140534968137e-01
1.122000000000000064e+01,-5.182404099671085174e-01
1.123000000000000043e+01,-5.132759475980054331e-01
1.124000000000000021e+01,-5.084325506428845065e-01
1.125000000000000000e+01,-5.037067732074810289e-01
1.125999999999999979e+01,-4.990952942049390328e-01
1.126999999999999957e+01,-4.945949120306924462e-01
1.127999999999999936e+01,-4.902025394983384743e-01
1.128999999999999915e+01,-4.859151990221796114e-01
1.130000000000000071e+01,-4.817300180329608383e-01
1.131000000000000050e+01,-4.776442246141123782e-01
1.132000000000000028e+01,-4.736551433464967209e-01
1.133000000000000007e+01,-4.697601913505689564e-01
1.133999999999999986e+01,-4.659568745153320757e-01
1.134999999999999964e+01,-4.622427839041626796e-01
1.135999999999999943e+01,-4.586155923282206337e-01
1.136999999999999922e+01,-4.550730510786167304e-01
1.138000000000000078e+01,-4.516129868090860144e-01
1.139000000000000057e+01,-4.482332985612935139e-01
1.140000000000000036e+01,-4.449319549255339457e-01
1.141000000000000014e+01,-4.417069913297950734e-01
1.141999999999999993e+01,-4.385565074507044026e-01
1.142999999999999972e+01,-4.354786647401227007e-01
1.143999999999999950e+01,-4.324716840616465996e-01
1.144999999999999929e+01,-4.295338434314568965e-01
1.146000000000000085e+01,-4.266634758583394138e-01
1.147000000000000064e+01,-4.238589672779707329e-01
1.148000000000000043e+01,-4.211187545768249052e-01
1.149000000000000021e+01,-4.184413237013446252e-01
1.150000000000000000e+01,-4.158252078481793346e-01
1.150999999999999979e+01,-4.132689857316095838e-01
1.151999999999999957e+01,-4.107712799244379043e-01
1.152999999999999936e+01,-4.083307552688241193e-01
1.153999999999999915e+01,-4.059461173537278755e-01
1.155000000000000071e+01,-4.036161110558170728e-01
1.156000000000000050e+01,-4.013395191409154794e-01
1.157000000000000028e+01,-3.991151609230120245e-01
1.158000000000000007e+01,-3.969418909783043459e-01
1.158999999999999986e+01,-3.948185979116546340e-01
1.159999999999999964e+01,-3.927442031730481453e-01
1.160999999999999943e+01,-3.907176599217864754e-01
1.161999999999999922e+01,-3.887379519362221814e-01
1.163000000000000078e+01,-3.868040925669818386e-01
1.164000000000000057e+01,-3.849151237317199326e-01
1.165000000000000036e+01,-3.830701149495355229e-01
1.166000000000000014e+01,-3.812681624132977509e-01
1.166999999999999993e+01,-3.795083880981709457e-01
1.167999999999999972e+01,-3.777899389047801870e-01
1.168999999999999950e+01,-3.761119858354372569e-01
1.169999999999999929e+01,-3.744737232020848294e-01
1.171000000000000085e+01,-3.728743678644779735e-01
1.172000000000000064e+01,-3.713131584973327071e-01
1.173000000000000043e+01,-3.697893548852244638e-01
1.174000000000000021e+01,-3.683022372440248327e-01
1.175000000000000000e+01,-3.668511055677262100e-01
1.175999999999999979e+01,-3.654352789996331285e-01
1.176999999999999957e+01,-3.640540952268373487e-01
1.177999999999999936e+01,-3.627069098970509553e-01
1.178999999999999915e+01,-3.613930960568059736e-01
1.180000000000000071e+01,-3.601120436102109301e-01
1.181000000000000050e+01,-3.588631587973387105e-01
1.182000000000000028e+01,-3.576458636914863765e-01
1.183000000000000007e+01,-3.564595957145287874e-01
1.183999999999999986e+01,-3.553038071696140721e-01
1.184999999999999964e+01,-3.541779647904903516e-01
1.185999999999999943e+01,-3.530815493068634736e-01
1.186999999999999922e+01,-3.520140550250249745e-01
1.188000000000000078e+01,-3.509749894232624956e-01
1.189000000000000057e+01,-3.499638727613634814e-01
1.190000000000000036e+01,-3.489802377037277692e-01
1.191000000000000014e+01,-3.480236289555331819e-01
1.191999999999999993e+01,-3.470936029114026766e-01
1.192999999999999972e+01,-3.461897273161592681e-01
1.193999999999999950e+01,-3.453115809371232192e-01
1.194999999999999929e+01,-3.444587532475716918e-01
1.196000000000000085e+01,-3.436308441208919540e-01
1.197000000000000064e+01,-3.428274635350255783e-01
1.198000000000000043e+01,-3.420482312868214914e-01
1.199000000000000021e+01,-3.412927767159167902e-01
1.200000000000000000e+01,-3.405607384377852265e-01
